Id,Season,Episode,Chunk,Ex,Ey,Px,Py
101,7.0,11.0,2.0,0.3,0.3,-0.1,-0.3
102,7.0,11.0,3.0,0.2,0.2,-0.2,-0.1
103,7.0,11.0,4.0,0.5,0.6,0.1,0.3
104,7.0,11.0,5.0,0.3,0.4,-0.2,-0.2
105,7.0,11.0,6.0,-0.2,0.3,0.0,0.0
106,7.0,11.0,7.0,0.2,0.2,-0.1,-0.1
107,7.0,11.0,8.0,0.4,0.0,0.0,0.0
108,7.0,11.0,9.0,0.3,0.1,0.0,0.0
109,7.0,11.0,10.0,0.4,0.2,0.2,-0.3
110,7.0,12.0,1.0,0.5,0.4,0.3,-0.3
111,7.0,12.0,2.0,0.4,0.5,0.1,-0.1
112,7.0,12.0,3.0,0.3,0.4,0.0,0.0
113,7.0,12.0,4.0,0.4,0.0,0.2,-0.3
114,7.0,12.0,5.0,0.3,0.1,0.3,-0.2
115,7.0,12.0,6.0,0.3,0.3,0.1,-0.1
116,7.0,12.0,7.0,0.4,0.4,-0.3,-0.2
117,7.0,12.0,8.0,0.5,0.5,0.0,-0.1
118,7.0,12.0,9.0,0.6,0.3,-0.1,0.0
119,7.0,12.0,10.0,-0.5,0.6,0.0,-0.4
120,7.0,13.0,1.0,0.6,0.6,0.6,-0.3
121,7.0,13.0,2.0,0.4,0.5,0.3,-0.2
122,7.0,13.0,3.0,0.5,0.3,-0.2,0.2
123,7.0,13.0,4.0,0.3,0.4,0.1,-0.1
124,7.0,13.0,5.0,0.2,0.1,0.2,-0.2
125,7.0,13.0,6.0,0.4,0.0,0.3,0.0
126,7.0,13.0,7.0,0.3,0.1,0.1,-0.1
127,7.0,13.0,8.0,-0.3,0.4,0.2,-0.2
128,7.0,13.0,9.0,0.4,0.0,0.3,-0.3
129,7.0,13.0,10.0,0.3,0.1,0.2,-0.2
130,7.0,14.0,1.0,0.4,0.5,0.0,-0.1
131,7.0,14.0,2.0,0.5,0.4,0.2,-0.3
132,7.0,14.0,3.0,0.3,0.0,0.1,-0.1
133,7.0,14.0,4.0,0.2,-0.1,0.2,-0.3
134,7.0,14.0,5.0,0.1,0.0,0.0,-0.1
135,7.0,14.0,6.0,0.0,0.1,0.2,-0.1
136,7.0,14.0,7.0,-0.2,-0.2,0.1,-0.2
137,7.0,14.0,8.0,0.2,0.3,0.3,0.3
